platform,item_id,price,is_self_operated,crawl_date,cleaning_version
JD.com,JD-0237,7218.0,no,2026-05-12,CL-v2.0
JD.com,JD-0238,7218.0,no,2026-05-12,CL-v2.0
JD.com,JD-0239,7258.0,no,2026-05-12,CL-v2.0
JD.com,JD-0240,7278.0,no,2026-05-12,CL-v2.0
JD.com,JD-0241,7299.0,no,2026-05-12,CL-v2.0
JD.com,JD-0242,7328.0,no,2026-05-12,CL-v2.0
JD.com,JD-0243,7328.0,no,2026-05-12,CL-v2.0
JD.com,JD-0244,7328.0,no,2026-05-12,CL-v2.0
JD.com,JD-0245,7338.0,no,2026-05-12,CL-v2.0
JD.com,JD-0246,7338.0,no,2026-05-12,CL-v2.0
JD.com,JD-0247,7348.0,no,2026-05-12,CL-v2.0
JD.com,JD-0248,7348.0,no,2026-05-12,CL-v2.0
JD.com,JD-0249,7407.0,no,2026-05-12,CL-v2.0
JD.com,JD-0250,7418.0,no,2026-05-12,CL-v2.0
JD.com,JD-0251,7449.0,no,2026-05-12,CL-v2.0
JD.com,JD-0252,7518.0,no,2026-05-12,CL-v2.0
JD.com,JD-0253,7518.0,no,2026-05-12,CL-v2.0
JD.com,JD-0254,7528.0,no,2026-05-12,CL-v2.0
JD.com,JD-0255,7538.0,no,2026-05-12,CL-v2.0
JD.com,JD-0256,7648.0,no,2026-05-12,CL-v2.0
JD.com,JD-0257,7698.0,no,2026-05-12,CL-v2.0
JD.com,JD-0258,7748.0,no,2026-05-12,CL-v2.0
JD.com,JD-0259,7748.0,no,2026-05-12,CL-v2.0
JD.com,JD-0260,7898.0,no,2026-05-12,CL-v2.0
JD.com,JD-0261,8099.0,no,2026-05-12,CL-v2.0
JD.com,JD-0262,8238.0,no,2026-05-12,CL-v2.0
JD.com,JD-0263,8338.0,no,2026-05-12,CL-v2.0
JD.com,JD-0264,8358.0,no,2026-05-12,CL-v2.0
JD.com,JD-0265,8628.0,no,2026-05-12,CL-v2.0
JD.com,JD-0266,8668.0,no,2026-05-12,CL-v2.0
JD.com,JD-0267,8849.0,no,2026-05-12,CL-v2.0
JD.com,JD-0268,8930.0,no,2026-05-12,CL-v2.0
JD.com,JD-0269,9018.0,no,2026-05-12,CL-v2.0
JD.com,JD-0270,9128.0,no,2026-05-12,CL-v2.0
JD.com,JD-0271,9128.0,no,2026-05-12,CL-v2.0
JD.com,JD-0272,9168.0,no,2026-05-12,CL-v2.0
JD.com,JD-0273,9318.0,no,2026-05-12,CL-v2.0
JD.com,JD-0274,9368.0,no,2026-05-12,CL-v2.0
JD.com,JD-0275,9368.0,no,2026-05-12,CL-v2.0
JD.com,JD-0276,10798.0,no,2026-05-12,CL-v2.0
JD.com,JD-0277,10873.5,no,2026-05-12,CL-v2.0
JD.com,JD-0278,10999.0,yes,2026-05-12,CL-v2.0
Taobao,TB-0001,2540.0,no,2026-05-12,CL-v2.0
Taobao,TB-0002,2566.0,no,2026-05-12,CL-v2.0
Taobao,TB-0003,2695.0,no,2026-05-12,CL-v2.0
Taobao,TB-0004,2698.0,no,2026-05-12,CL-v2.0
Taobao,TB-0005,2799.0,no,2026-05-12,CL-v2.0
Taobao,TB-0006,2845.0,no,2026-05-12,CL-v2.0
Taobao,TB-0007,2988.0,no,2026-05-12,CL-v2.0
Taobao,TB-0008,2998.0,no,2026-05-12,CL-v2.0
Taobao,TB-0009,3020.0,no,2026-05-12,CL-v2.0
Taobao,TB-0010,3054.0,no,2026-05-12,CL-v2.0
Taobao,TB-0011,3068.0,no,2026-05-12,CL-v2.0
Taobao,TB-0012,3135.0,no,2026-05-12,CL-v2.0
Taobao,TB-0013,3158.0,no,2026-05-12,CL-v2.0
